视频名称,标注,时间段,说明
duyin5188_138,正常,,
duyin5188_139,正常,,
duyin5188_140,不当触摸：揉捏胸部,26-34秒,女性受试者故意揉捏胸部
duyin5188_141,正常,,
duyin5188_142,性暗示动作：具有明显性暗示的动作,7-32秒,女性受试者故意做出具有性暗示的动作
duyin5188_143,正常,,
duyin5188_144,身体暴露：乳房,175-330秒,男性受试者故意露出胸部
duyin5188_145,正常,,
duyin5188_146,正常,,
duyin5188_147,身体暴露：臀部,1-2秒,女性受试者故意露出臀部
duyin5188_148,正常,,
duyin5188_149,正常,,
duyin5188_150,正常,,
duyin5188_151,正常,,
duyin5188_152,不当触摸：揉捏胸部和触摸私处,1-56秒,女性受试者被揉捏胸部和触摸私处
duyin5188_153,不当触摸：揉捏胸部,44-75秒,女性受试者故意揉捏胸部
duyin5188_154,性暗示动作：具有明显性暗示的动作,1-104秒,女性受试者故意做出具有性暗示的动作
duyin5188_155,不当触摸：揉捏胸部和触摸私处；身体暴露：乳房；明显性行为：性行为,60-282秒,女性受试者故意露出胸部并揉捏，触摸私处，做出性行为
duyin5188_156,身体暴露：乳房,169-300秒,女性受试者故意露出胸部
duyin5188_157,性暗示动作：具有明显性暗示的动作,2-55秒,女性受试者故意做出具有性暗示的动作
duyin5188_158,明显性行为：性交,1-20秒,男女性受试者性交
duyin5188_159,正常,,
duyin5188_160,正常,,
duyin5188_161,正常,,
duyin5188_162,正常,,
duyin5188_163,不当触摸：触摸私处,1-11秒,女性受试者被触摸私处
duyin5188_164,明显性行为：性交,1-34秒,男女性受试者性交
duyin5188_165,明显性行为：性交,1-40秒,男女性受试者性交
duyin5188_166,正常,,
duyin5188_167,身体暴露：乳房和私处；明显性行为：性行为,1-45秒,女性受试者露出胸部和私处并做出性行为
duyin5188_168,正常,,
duyin5188_169,明显性行为：性交,1-31秒,男女性受试者性交
duyin5188_170,性暗示动作：具有明显性暗示的动作,38-60秒,女性受试者故意做出具有性暗示的动作
duyin5188_171,正常,,
duyin5188_172,正常,,
duyin5188_173,不当触摸：揉捏胸部,36-208秒,女性受试者故意揉捏胸部
duyin5188_174,不当触摸：揉捏臀部,33-43秒,女性受试者被揉捏臀部
duyin5188_175,性暗示动作：具有明显性暗示的动作,1-50秒,女性受试者故意做出具有性暗示的动作
duyin5188_176,正常,,
duyin5188_177,正常,,
duyin5188_178,正常,,
duyin5188_179,身体暴露：臀部,1-12秒,女性受试者露出臀部
duyin5188_180,正常,,
duyin5188_181,身体暴露：乳房和私密部位；不当触摸：触摸私处,1-63秒,女性受试者露出胸部；男受试者露出私处，并触摸女性私处
duyin5188_182,身体暴露：臀部和私密部位,34-48秒,男性受试者露出臀部和私密部位
duyin5188_183,正常,,
duyin5188_184,正常,,
duyin5188_185,正常,,
duyin5188_186,身体暴露：乳房,1-40秒,女性受试者露出胸部
duyin5188_187,性暗示动作：具有明显性暗示的动作,36-112秒,男性受试者故意做出具有性暗示的动作
duyin5188_188,身体暴露：臀部,6-36秒,女性受试者露出臀部
duyin5188_189,正常,,
duyin5188_190,正常,,
duyin5188_191,正常,,
duyin5188_192,明显性行为：性行为；身体暴露：乳房,1-6秒,女性受试者露出胸部，男女进行性行为
duyin5188_193,正常,,
duyin5188_194,正常,,
duyin5188_195,正常,,
duyin5188_196,正常,,
duyin5188_197,身体暴露：臀部；不当触摸：触摸臀部,1-37秒,女性受试者露出臀部并触摸
duyin5188_198,正常,,
duyin5188_199,正常,,
duyin5188_200,性暗示动作：具有明显性暗示的动作,1-24秒,女性受试者故意做出具有性暗示的动作
duyin5188_201,身体暴露：乳房,12-26秒,女性受试者露出胸部
duyin5188_202,身体暴露：乳房,1-30秒,女性受试者露出胸部
duyin5188_203,正常,,
duyin5188_204,正常,,
duyin5188_205,正常,,
duyin5188_206,正常,,
duyin5188_207,明显性行为：性交,1-6秒,男女性受试者性交
duyin5188_208,正常,,
duyin5188_209,正常,,
duyin5188_210,身体暴露：私密部位,21-27秒,男女性受试者露出私密部位
duyin5188_211,明显性行为：性行为,1-23秒,男女性受试者发生性行为
duyin5188_212,正常,,
duyin5188_213,正常,,
duyin5188_214,不当触摸：触摸私处,1-8秒,女性受试者触摸私处
duyin5188_215,不当触摸：触摸私处,1-4秒,女性受试者触摸私处
duyin5188_216,正常,,
duyin5188_217,正常,,
duyin5188_218,身体暴露：私密部位,1-11秒,女性受试者露出私密部位
duyin5188_219,正常,,
duyin5188_220,身体暴露：乳房；不当触摸：揉捏胸部,50-99秒,女性受试者露出胸部并被揉捏
duyin5188_221,身体暴露：私密部位,6-22秒,女性受试者露出私密部位
duyin5188_222,性暗示动作：具有明显性暗示的动作,1-7秒,女性受试者故意做出具有性暗示的动作
duyin5188_223,正常,,
duyin5188_224,身体暴露：乳房,7-12秒,女性受试者露出胸部
duyin5188_225,正常,,
duyin5188_226,身体暴露：乳房；不当触摸：揉捏胸部,1-12秒,女性受试者露出胸部并被揉捏
duyin5188_227,身体暴露：臀部,3-4秒,女性受试者露出臀部
duyin5188_228,正常,,
duyin5188_229,正常,,
duyin5188_230,身体暴露：臀部,1-2秒,女性受试者露出臀部
duyin5188_231,正常,,
duyin5188_232,正常,,
duyin5188_233,身体暴露：私密部位；不当触摸：触摸私处,1-46秒,男性受试者露出私密部位并触摸
duyin5188_234,不当触摸：触摸私处,45-105秒,男性受试者触摸私密部位
duyin5188_235,不当触摸：触摸臀部,168-228秒,女性受试者被触摸臀部
duyin5188_236,正常,,
duyin5188_237,身体暴露：乳房和臀部,115-260秒,女性受试者露出胸部和臀部
duyin5188_238,正常,,
,,,
tracysh84978743_1,正常,,
tracysh84978743_2,正常,,
tracysh84978743_3,正常,,
tracysh84978743_4,正常,,
tracysh84978743_5,身体暴露：乳房,14-15秒,女性受试者故意露出胸部
tracysh84978743_6,正常,,
tracysh84978743_7,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
tracysh84978743_8,正常,,
tracysh84978743_9,正常,,
tracysh84978743_10,正常,,
tracysh84978743_11,正常,,
tracysh84978743_12,身体暴露：乳房,13-40秒,女性受试者故意露出胸部
tracysh84978743_13,正常,,
tracysh84978743_14,正常,,
tracysh84978743_15,正常,,
tracysh84978743_16,正常,,
tracysh84978743_17,正常,,
tracysh84978743_18,正常,,
tracysh84978743_19,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_20,正常,,
tracysh84978743_21,身体暴露：乳房,20-21秒,女性受试者故意露出胸部
tracysh84978743_22,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_23,身体暴露：乳房,1-14秒,女性受试者故意露出胸部
tracysh84978743_24,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
tracysh84978743_25,正常,,
tracysh84978743_26,身体暴露：乳房,2-20秒,女性受试者故意露出胸部
tracysh84978743_27,正常,,
tracysh84978743_28,正常,,
tracysh84978743_29,身体暴露：乳房,7-13秒,女性受试者故意露出胸部
tracysh84978743_30,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_31,正常,,
tracysh84978743_32,身体暴露：乳房,30-41秒,女性受试者故意露出胸部
tracysh84978743_33,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
tracysh84978743_34,身体暴露：乳房,21-23秒,女性受试者故意露出胸部
tracysh84978743_35,正常,,
tracysh84978743_36,正常,,
tracysh84978743_37,身体暴露：乳房,1-15秒,女性受试者故意穿透视装露出胸部
tracysh84978743_38,正常,,
tracysh84978743_39,身体暴露：乳房,1-13秒,女性受试者故意穿透视装露出胸部
tracysh84978743_40,身体暴露：臀部,3-4秒,女性受试者故意露出臀部
tracysh84978743_41,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
tracysh84978743_42,身体暴露：乳房,1-17秒,女性受试者故意露出胸部
tracysh84978743_43,正常,,
tracysh84978743_44,身体暴露：乳房,1-13秒,女性受试者故意露出胸部
tracysh84978743_45,正常,,
tracysh84978743_46,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
tracysh84978743_47,正常,,
tracysh84978743_48,身体暴露：乳房,3-7秒,女性受试者故意露出胸部
tracysh84978743_49,身体暴露：乳房,4-11秒,女性受试者故意露出胸部
tracysh84978743_50,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_51,正常,,
tracysh84978743_52,身体暴露：乳房,1-11秒,女性受试者故意露出胸部
tracysh84978743_53,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_54,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
tracysh84978743_55,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_56,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
tracysh84978743_57,身体暴露：乳房,13-16秒,女性受试者故意露出胸部
tracysh84978743_58,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_59,正常,,
tracysh84978743_60,正常,,
tracysh84978743_61,正常,,
tracysh84978743_62,身体暴露：乳房,34-39秒,女性受试者故意露出胸部
tracysh84978743_63,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
tracysh84978743_64,身体暴露：乳房,1-18秒,女性受试者故意露出胸部
tracysh84978743_65,身体暴露：私密部位；性用品展示;成人用品或性玩具的展示使用,1-52秒,女性受试者故意露出私密部位并使用性用品
tracysh84978743_66,身体暴露：乳房,7-17秒,女性受试者故意露出胸部
tracysh84978743_67,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
tracysh84978743_68,正常,,
tracysh84978743_69,身体暴露：乳房,16-20秒,女性受试者故意露出胸部
tracysh84978743_70,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_71,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
tracysh84978743_72,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_73,正常,,
tracysh84978743_74,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_75,正常,,
tracysh84978743_76,身体暴露：乳房,15-31秒,女性受试者故意弄湿衣服露出胸部
tracysh84978743_77,正常,,
tracysh84978743_78,正常,,
tracysh84978743_79,身体暴露：乳房,2-14秒,女性受试者故意露出胸部
tracysh84978743_80,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
tracysh84978743_81,身体暴露：乳房,6-10秒,女性受试者故意露出胸部
tracysh84978743_82,身体暴露：乳房,1-15秒,女性受试者故意露出胸部
tracysh84978743_83,身体暴露：乳房,22-44秒,女性受试者故意穿透视装露出胸部
tracysh84978743_84,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_85,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
tracysh84978743_86,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_87,身体暴露：乳房,8-16秒,女性受试者故意露出胸部
tracysh84978743_88,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
tracysh84978743_89,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
tracysh84978743_90,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_91,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_92,不当触摸：揉捏胸部,11-15秒,女性受试者故意揉捏胸部
tracysh84978743_93,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_94,身体暴露：乳房,1-40秒,女性受试者故意露出胸部
tracysh84978743_95,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_96,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
tracysh84978743_97,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_98,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
tracysh84978743_99,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_100,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_101,身体暴露：乳房,12-16秒,女性受试者故意露出胸部
tracysh84978743_102,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_103,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_104,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
tracysh84978743_105,身体暴露：乳房,1-26秒,女性受试者故意露出胸部
tracysh84978743_106,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_107,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_108,身体暴露：乳房,7-9秒,女性受试者故意露出胸部
tracysh84978743_109,身体暴露：乳房,9-10秒,女性受试者故意露出胸部
tracysh84978743_110,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
tracysh84978743_111,正常,,
tracysh84978743_112,正常,,
tracysh84978743_113,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
tracysh84978743_114,身体暴露：乳房,5-7秒,女性受试者故意露出胸部
tracysh84978743_115,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
tracysh84978743_116,身体暴露：乳房,1-40秒,女性受试者故意露出胸部
tracysh84978743_117,身体暴露：乳房,3-7秒,女性受试者故意露出胸部
tracysh84978743_118,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_119,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
tracysh84978743_120,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_121,身体暴露：乳房,2-22秒,女性受试者故意露出胸部
tracysh84978743_122,身体暴露：乳房,2-13秒,女性受试者故意露出胸部
tracysh84978743_123,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
tracysh84978743_124,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_125,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_126,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_127,正常,,
tracysh84978743_128,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_129,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
tracysh84978743_130,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_131,不当触摸：揉捏胸部,1-16秒,女性受试者故意揉捏胸部
tracysh84978743_132,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
tracysh84978743_133,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
tracysh84978743_134,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_135,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_136,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_137,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_138,身体暴露：乳房,3-24秒,女性受试者故意露出胸部
tracysh84978743_139,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_140,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_141,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_142,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
tracysh84978743_143,身体暴露：乳房,15-18秒,女性受试者故意露出胸部
tracysh84978743_144,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
tracysh84978743_145,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_146,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_147,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_148,身体暴露：乳房,1-18秒,女性受试者故意露出胸部
tracysh84978743_149,身体暴露：乳房,9-10秒,女性受试者故意露出胸部
tracysh84978743_150,身体暴露：乳房,14-16秒,女性受试者故意露出胸部
tracysh84978743_151,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_152,正常,,
tracysh84978743_153,身体暴露：乳房,2-6秒,女性受试者故意露出胸部
tracysh84978743_154,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_155,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
tracysh84978743_156,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_157,身体暴露：乳房,6-15秒,女性受试者故意露出胸部
tracysh84978743_158,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
tracysh84978743_159,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
tracysh84978743_160,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_161,正常,,
tracysh84978743_162,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_163,身体暴露：乳房,8-10秒,女性受试者故意露出胸部
tracysh84978743_164,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
tracysh84978743_165,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_166,身体暴露：乳房,5-8秒,女性受试者故意露出胸部
tracysh84978743_167,身体暴露：乳房,12-23秒,女性受试者故意露出胸部
tracysh84978743_168,身体暴露：乳房,3-8秒,女性受试者故意露出胸部
tracysh84978743_169,身体暴露：乳房,19-23秒,女性受试者故意穿透视装露出胸部
tracysh84978743_170,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
tracysh84978743_171,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_172,身体暴露：乳房,3-19秒,女性受试者故意露出胸部
tracysh84978743_173,身体暴露：乳房,2-9秒,女性受试者故意露出胸部
tracysh84978743_174,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
tracysh84978743_175,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_176,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_177,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
tracysh84978743_178,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
tracysh84978743_179,身体暴露：乳房,4-9秒,女性受试者故意露出胸部
tracysh84978743_180,身体暴露：乳房,5-7秒,女性受试者故意露出胸部
tracysh84978743_181,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_182,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_183,身体暴露：乳房,1-3秒,女性受试者故意穿透视装露出胸部
tracysh84978743_184,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_185,身体暴露：乳房,1-15秒,女性受试者故意露出胸部
tracysh84978743_186,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_187,身体暴露：乳房,1-2秒,女性受试者故意穿透式装露出胸部
tracysh84978743_188,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_189,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_190,身体暴露：乳房,7-11秒,女性受试者故意露出胸部
tracysh84978743_191,身体暴露：乳房,23-34秒,女性受试者故意露出胸部
tracysh84978743_192,身体暴露：乳房,8-10秒,女性受试者故意露出胸部
tracysh84978743_193,身体暴露：乳房,20-25秒,女性受试者故意露出胸部
tracysh84978743_194,正常,,
tracysh84978743_195,身体暴露：乳房,14-18秒,女性受试者故意露出胸部
tracysh84978743_196,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_197,身体暴露：乳房,1-14秒,女性受试者故意露出胸部
tracysh84978743_198,身体暴露：乳房,7-8秒,女性受试者故意穿透式装露出胸部
tracysh84978743_199,身体暴露：乳房,12-13秒,女性受试者故意露出胸部
tracysh84978743_200,身体暴露：乳房,120-126秒,女性受试者故意露出胸部
tracysh84978743_201,正常,,
tracysh84978743_202,身体暴露：乳房,22-30秒,女性受试者故意露出胸部
tracysh84978743_203,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_204,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_205,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_206,身体暴露：私密部位,2-3秒,女性受试者故意露出私密部位
tracysh84978743_207,身体暴露：乳房,5-9秒,女性受试者故意露出胸部
tracysh84978743_208,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
tracysh84978743_209,身体暴露：私密部位,7-8秒,女性受试者故意露出私密部位
tracysh84978743_210,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
tracysh84978743_211,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
tracysh84978743_212,身体暴露：乳房,2-10秒,女性受试者故意露出胸部
tracysh84978743_213,身体暴露：乳房,4-13秒,女性受试者故意穿透视装露出胸部
tracysh84978743_214,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
tracysh84978743_215,身体暴露：乳房,21-26秒,女性受试者故意露出胸部
tracysh84978743_216,身体暴露：乳房,9-10秒,女性受试者故意露出胸部
tracysh84978743_217,身体暴露：乳房,18-24秒,女性受试者故意露出胸部
tracysh84978743_218,身体暴露：乳房,4-14秒,女性受试者故意露出胸部
tracysh84978743_219,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
tracysh84978743_220,身体暴露：乳房,11-13秒,女性受试者故意露出胸部
tracysh84978743_221,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_222,身体暴露：乳房,2-8秒,女性受试者故意露出胸部
tracysh84978743_223,身体暴露：乳房,5-15秒,女性受试者故意露出胸部
tracysh84978743_224,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_225,身体暴露：乳房,10-11秒,女性受试者故意露出胸部
tracysh84978743_226,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
tracysh84978743_227,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_228,正常,,
tracysh84978743_229,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_230,正常,,
tracysh84978743_231,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_232,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_233,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_234,身体暴露：乳房,6-9秒,女性受试者故意露出胸部
tracysh84978743_235,身体暴露：乳房,10-11秒,女性受试者故意露出胸部
tracysh84978743_236,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
tracysh84978743_237,身体暴露：乳房,18-32秒,女性受试者故意露出胸部
tracysh84978743_238,身体暴露：乳房,2-5秒,女性受试者故意穿透视装露出胸部
tracysh84978743_239,身体暴露：乳房和私密部位,2-15秒,女性受试者故意露出胸部和私密部位
tracysh84978743_240,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
tracysh84978743_241,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_242,身体暴露：乳房,10-11秒,女性受试者故意露出胸部
tracysh84978743_243,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_244,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
tracysh84978743_245,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
tracysh84978743_246,身体暴露：乳房,3-10秒,女性受试者故意露出胸部
tracysh84978743_247,身体暴露：乳房,4-11秒,女性受试者故意露出胸部
tracysh84978743_248,身体暴露：乳房,10-25秒,女性受试者故意露出胸部
tracysh84978743_249,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
tracysh84978743_250,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
tracysh84978743_251,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
tracysh84978743_252,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
tracysh84978743_253,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_254,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
tracysh84978743_255,身体暴露：乳房,5-20秒,女性受试者故意露出胸部
tracysh84978743_256,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_257,身体暴露：乳房,2-9秒,女性受试者故意露出胸部
tracysh84978743_258,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
tracysh84978743_259,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
tracysh84978743_260,身体暴露：乳房,3-10秒,女性受试者故意露出胸部
tracysh84978743_261,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
tracysh84978743_262,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
tracysh84978743_263,身体暴露：乳房,5-21秒,女性受试者故意露出胸部
tracysh84978743_264,身体暴露：乳房,7-9秒,女性受试者故意露出胸部
tracysh84978743_265,身体暴露：乳房,7-9秒,女性受试者故意露出胸部
tracysh84978743_266,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_267,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
tracysh84978743_268,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
tracysh84978743_269,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
tracysh84978743_270,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
tracysh84978743_271,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_272,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_273,身体暴露：乳房,12-17秒,女性受试者故意露出胸部
tracysh84978743_274,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_275,身体暴露：乳房,7-10秒,女性受试者故意露出胸部
tracysh84978743_276,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
tracysh84978743_277,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_278,身体暴露：乳房,1-12秒,女性受试者故意露出胸部
tracysh84978743_279,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
tracysh84978743_280,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
tracysh84978743_281,身体暴露：乳房,1-17秒,女性受试者故意露出胸部
tracysh84978743_282,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
tracysh84978743_283,身体暴露：乳房,6-13秒,女性受试者故意露出胸部
tracysh84978743_284,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_285,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
tracysh84978743_286,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_287,身体暴露：乳房,2-8秒,女性受试者故意露出胸部
tracysh84978743_288,身体暴露：乳房,9-13秒,女性受试者故意露出胸部
tracysh84978743_289,身体暴露：乳房,15-16秒,女性受试者故意露出胸部
tracysh84978743_290,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
tracysh84978743_291,身体暴露：乳房,14-22秒,女性受试者故意露出胸部
tracysh84978743_292,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
tracysh84978743_293,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
tracysh84978743_294,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_295,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
tracysh84978743_296,身体暴露：乳房,1-12秒,女性受试者故意露出胸部
tracysh84978743_297,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
tracysh84978743_298,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
tracysh84978743_299,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
tracysh84978743_300,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
tracysh84978743_301,身体暴露：乳房,9-13秒,女性受试者故意露出胸部
tracysh84978743_302,身体暴露：乳房,8-10秒,女性受试者故意露出胸部
tracysh84978743_303,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
tracysh84978743_304,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
tracysh84978743_305,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
tracysh84978743_306,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
tracysh84978743_307,身体暴露：乳房,2-10秒,女性受试者故意露出胸部
tracysh84978743_308,身体暴露：乳房,14-42秒,女性受试者故意露出胸部
tracysh84978743_309,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
tracysh84978743_310,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
tracysh84978743_311,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
